title,DICD,total_profit,Name
로망스,20241988,2376146100,하명미
"마지막 늑대",20241988,303851500,하명미
장산범,20169260,10341783083,허정
숨바꼭질,20169260,39602995500,허정
싱글라이더,20232106,2685519021,이주영
"잡아야 산다",20243869,415009400,이윤호
어느날,10056949,1846581582,이윤기
"남과 여",10056949,1651122533,이윤기
"사랑한다, 사랑하지 않는다",10056949,508658500,이윤기
"멋진 하루",10056949,2586052500,이윤기
"여자, 정혜",10056949,273120000,이윤기
미니특공대X,20186877,745801200,이영준
"파워배틀 와치카 미니카 배틀리그: 불꽃의 질주",20186877,264189420,이영준
"최강전사 미니특공대: 영웅의 탄생",20186877,873320200,이영준
"최강전사 미니특공대 : 새로운 악당의 습격",20186877,1171479200,이영준
"뽀로로 극장판 슈퍼썰매 대모험",20186877,6826959500,이영준
"더 킹",10087712,43488814535,한재림
"특종: 량첸살인기",10087712,4754763118,한재림
관상,10087712,66007533500,한재림
"연애의 온도",10087712,13799922446,한재림
"우아한 세계",10087712,6161685500,한재림
"연애의 목적",10087712,9846423390,한재림
김광석,20191566,772483500,이상호
다이빙벨,20191566,348540500,이상호
"저수지 게임",10072781,985725100,최진성
"더 플랜",10072781,263526895,최진성
"I AM",10072781,245731000,최진성
다세포소녀,10072781,2862391500,최진성
마녀,10071617,27242041463,채길병
노리개,10071617,1229614500,채길병
히트,10071617,783919500,채길병
"그놈 목소리",10071617,17598617600,채길병
"나두야 간다",10071617,1215167500,채길병
"극장판 또봇: 로봇군단의 습격",10055080,1090835800,이달
눈길,20208386,976008100,이나정
"철가방 우수氏",10054571,604032500,윤학렬
"당신이 잠든 사이에",10054571,447691500,윤학렬
"잘못된 만남",10054571,308882000,윤학렬
까불지마,10054571,999160000,윤학렬
공조,10054492,63783051326,윤제균
좋아해줘,10054492,6572774337,윤제균
히말라야,10054492,60175111015,윤제균
국제시장,10054492,110933981730,윤제균
스파이,10054492,24509278305,윤제균
댄싱퀸,10054492,30130610500,윤제균
7광구,10054492,19391653500,윤제균
퀵,10054492,22960890000,윤제균
"내 깡패 같은 애인",10054492,5028497000,윤제균
하모니,10054492,21641740000,윤제균
시크릿,10054492,7957651500,윤제균
해운대,10054492,81025004000,윤제균
"색즉시공 시즌2",10054492,13466476000,윤제균
"1번가의 기적",10054492,15494034100,윤제균
"내 생애 가장 아름다운 일주일",10054492,14710541000,윤제균
"간 큰 가족",10054492,8212961893,윤제균
낭만자객,10054492,312851500,윤제균
"살인자의 기억법",20111284,21375287492,원신연
용의자,20111284,30037161000,원신연
"세븐 데이즈",20111284,13720377000,원신연
구타유발자들,20111284,934380300,원신연
가발,20111284,2816190000,원신연
런닝맨,20288697,10060239500,최봉석
폭풍전야,10067366,387323000,조창호
스파키,10040004,257040200,"아론 우들리"
"조작된 도시",10050399,20143992587,오상호
톱스타,10050399,1194185500,오상호
"자칼이 온다",10050399,1430079500,오상호
백야행,10050399,7121437000,오상호
"카리스마 탈출기",10050399,532419300,오상호
"슈퍼스타 감사용",20138632,4073017000,안재석
"로마의 휴일",20195674,993321176,안용훈
도희야,10040599,830984100,신종훈
"아부의 왕",10040599,3511102500,신종훈
"부러진 화살",10040599,25937216000,신종훈
마린보이,10040599,5503176500,신종훈
"기다리다 미쳐",10040599,2865110500,신종훈
강적,10040599,1956841000,신종훈
"마지막 늑대",10040599,303851500,신종훈
아파트,10040599,3460497800,신종훈
어느날,10037278,1846581582,송해성
"고령화 가족",10037278,8169492153,송해성
무적자,10037278,11629780500,송해성
"우리들의 행복한 시간",10037278,14938458000,송해성
역도산,10037278,6482309500,송해성
"마이 캡틴 김대출",20030069,663144000,송창수
"그래, 가족",20110508,350293300,송정우
함정,20110508,2090877200,송정우
공조,10000533,63783051326,강대규
히말라야,10000533,60175111015,강대규
하모니,10000533,21641740000,강대규
해운대,10000533,81025004000,강대규
악녀,10061765,9739662144,정병식
