﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
591,치외법권,2015.8.27,2664941005,346483,346483,446,15297,"(주)유니프로,(주)스톰픽쳐스코리아",판씨네마(주),15세이상관람가,액션,신동엽,임창정,최다니엘,신동엽,6140683505,1535170876,251176500,2664941005,"(주)유니프로,(주)스톰픽쳐스코리아",2664941005,2664941005,2664941005,2664941005,임창정,65384561005,6538456101,1899792000,13466476000,최다니엘,22871025005,7623675002,2664941005,12240964500
112,친구 2,2013.11.14,21804687513,2971475,2971475,968,69865,"(주)트리니티엔터테인먼트,(주)제이콘컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,액션,곽경택,유오성,주진모,곽경택,85383001210,14230500202,285969000,22389535897,"(주)트리니티엔터테인먼트,(주)제이콘컴퍼니",21804687513,21804687513,21804687513,21804687513,유오성,21804687513,21804687513,21804687513,21804687513,주진모,84959849813,21239962453,1450490000,36292848900
125,친절한 금자씨,2005.7.29,20483051393,3119682,3119682,386,41438,(주)모호필름,씨제이엔터테인먼트,18세관람가,스릴러,박찬욱,이영애,최민식,박찬욱,76442092184,15288418437,1928502500,35211229991,(주)모호필름,42905958193,10726489548,3603598500,20483051393,이영애,20483051393,20483051393,20483051393,20483051393,최민식,82687393798,20671848450,13403595000,34881330905
539,친정엄마,2010.4.22,3311591000,469685,469685,275,24981,"(주)동아수출공사,아일랜드픽처스(주)",(주)싸이더스,전체관람가,"드라마,가족",유성엽,김해숙,박진희,유성엽,3311591000,3311591000,3311591000,3311591000,"(주)동아수출공사,아일랜드픽처스(주)",3311591000,3311591000,3311591000,3311591000,김해숙,3311591000,3311591000,3311591000,3311591000,박진희,20637494000,5159373500,3122965500,7819284000
856,카리스마 탈출기,2006.3.30,532419300,86027,86027,141,6003,태창엔터테인먼트(주),씨제이엔터테인먼트,15세관람가,코미디,권남기,안재모,윤은혜,권남기,532419300,532419300,532419300,532419300,태창엔터테인먼트(주),1845876800,922938400,532419300,1313457500,안재모,532419300,532419300,532419300,532419300,윤은혜,532419300,532419300,532419300,532419300
508,카운트다운,2011.9.29,3630557000,471547,471547,341,20958,(주)영화사봄,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,"드라마,액션",허종호,정재영,전도연,허종호,12354207039,6177103520,3630557000,8723650039,(주)영화사봄,31513822533,5252303756,508658500,17653752500,정재영,1.26748E+11,9053463904,663144000,25437192500,전도연,10252982920,3417660973,3262380431,3630557000
395,카트,2014.11.13,5928169433,814424,814424,544,28591,(주)명필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,부지영,염정아,문정희,부지영,5928169433,5928169433,5928169433,5928169433,(주)명필름,68535281533,11422546922,1074486100,30220536000,염정아,7186169933,3593084967,1258000500,5928169433,문정희,46721494433,15573831478,1190329500,39602995500
530,캐치미,2013.12.18,3396292000,494126,494126,517,16864,"(주)소넷엔터테인먼트,화이브라더스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"코미디,멜로/로맨스",이현종,김아중,주원,이현종,3396292000,3396292000,3396292000,3396292000,"(주)소넷엔터테인먼트,화이브라더스",3396292000,3396292000,3396292000,3396292000,김아중,40443126400,13481042133,753985500,36292848900,주원,13703714879,4567904960,3396292000,5939840500
586,커플즈,2011.11.2,2705566500,360045,360045,387,19564,"시오필름(주),(주)바른손이앤에이",(주)싸이더스,15세이상관람가,"멜로/로맨스,코미디",정용기,공형진,김주혁,정용기,71375439400,10196491343,1324401000,28622355500,"시오필름(주),(주)바른손이앤에이",2705566500,2705566500,2705566500,2705566500,공형진,4812458500,2406229250,2106892000,2705566500,김주혁,22466463439,4493292688,2027581239,12062180000
195,코리아,2012.5.3,13448848500,1872681,1872681,537,49675,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",씨제이이앤엠(주),12세이상관람가,드라마,문현성,하지원,배두나,문현성,13448848500,13448848500,13448848500,13448848500,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",13448848500,13448848500,13448848500,13448848500,하지원,74798953721,9349869215,363098800,19391653500,배두나,1.27772E+11,42590613811,13448848500,57530028417
699,코알라 키드 : 영웅의 탄생,2012.1.12,1439227500,206344,206344,234,6765,"㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,이경호,태민,써니,이경호,1439227500,1439227500,1439227500,1439227500,"㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",1439227500,1439227500,1439227500,1439227500,태민,1439227500,1439227500,1439227500,1439227500,써니,1439227500,1439227500,1439227500,1439227500
104,퀵,2011.7.20,22960890000,3125069,3125069,514,60714,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"코미디,액션",조범구,이새별,고창석,조범구,53904844656,17968281552,2132943200,28811011456,"(주)제이케이필름,씨제이이앤엠(주)",2.07926E+11,41585286461,19391653500,1.10934E+11,이새별,27953039500,13976519750,4992149500,22960890000,고창석,34444844587,11481614862,2372206500,22960890000
474,퀴즈왕,2010.9.16,4188846000,569892,573001,321,23564,소란플레이먼트(주),(주)시네마서비스,15세이상관람가,코미디,장진,김수로,한재석,장진,62826762799,6980751422,542739500,18567863300,소란플레이먼트(주),22756709300,11378354650,4188846000,18567863300,김수로,33194954100,4742136300,542739500,9693558300,한재석,4972765500,2486382750,783919500,4188846000
