pro_rank,title,open_date,profit,percent,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor
299,"육혈포 강도단",2010.3.18,8651186000,0.90%,8651186000,1214237,1214237,319,51941,"(주)전망좋은 영화사",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,드라마,액션",강효진,"나문희,김수미,김혜옥,임창정,김희원,김광규,강경헌,성소원,김민태,박영희,함성원,김기환,강선미,강선미,서성종,김규동,최동헌,유영채,윤미영,이채은,라미란,장원영,남문철,서승원"
300,"용서는 없다",2010.1.7,8597290000,0.90%,8597290000,1125154,1125154,323,33642,"㈜더드림앤드픽쳐스,(주)시네마서비스",(주)시네마서비스,청소년관람불가,"범죄,스릴러",김형준,"설경구,류승범,한혜진,성지루,박상욱,이정우,김혁,강규환,신민섭,조수빈,강승완,김대상,김도엽,최규동,유태경,임두영,정영훈,정승연,정재훈,최원영,최윤정,최은경,임영진,이종석,남경읍,김홍파,김종수,이도겸,유다인"
301,중천,2006.12.21,8581442100,0.90%,8581442100,1421412,1421412,402,31853,(주)나비픽처스,씨제이엔터테인먼트,12세이상관람가,"액션,드라마,판타지",조동오,"정우성,김태희,정욱,김광일,신제문,소이현,김민범,최희대,백경순,백동현,오세윤,장혁진,박정학,조재윤,정석용"
302,깡철이,2013.10.2,8572344462,0.50%,8572344462,1209363,1209363,707,43102,"(주)시네마서비스,㈜더드림앤드픽쳐스,㈜팝콘필름",씨제이이앤엠(주),15세이상관람가,"드라마,액션,가족",안권태,"유아인,김해숙,김정태,김성오,정유미,이시언,신정근,손희정,신경주,신창수,이동연,이동훈,이승민,이태영,길정환,하수진,한상현,이도겸,김인우,장태성"
303,"더 웹툰: 예고살인",2013.6.27,8537683070,0.50%,8537683070,1201457,1201457,541,35931,"(주)필마픽쳐스 ,(주)라인필름,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"공포(호러),스릴러",김용균,"이시영,엄기준,정현태,문가영,권해효"
304,"R2B: 리턴투베이스",2012.8.15,8525038871,0.60%,8525038871,1190556,1190556,539,32238,"(주)주머니필름,(주)빨간마후라,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"액션,드라마",김동원,"정지훈,유준상,신세경,김성수,이하나,이종석,정경호,조성하,오달수,정석원,임태열,정호빈,김성철,이웅규,윤승남,박효준,정한용,최진호,엄효섭"
305,결혼전야,2013.11.21,8444337719,0.50%,8444337719,1214836,1214836,524,38845,(주)수필름,씨너스엔터테인먼트(주),15세이상관람가,"멜로/로맨스,코미디",홍지영,"김강우,김효진,주지훈,이연희,옥택연,마동석,구잘 투르수노바,이희준,고준희,최종윤,정민주,이미도,최병모,김광규,장광,황정민,오나라,임병우,이주실"
306,"야수와 미녀",2005.10.27,8378297000,0.90%,8378297000,1339833,1339833,202,29108,시오필름(주),(주)쇼박스,12세관람가,코미디,이계벽,"류승범,신민아,김강우,허명행,손정민,송민석,김원중,조주현,안성진,서승억,차재선,박근석,박대희,윤종신,이홍표,권성환,최인경,김주일,이정필,김병옥,함은정,안길강,유다인"
307,마파도2,2007.1.18,8362778700,0.90%,8362778700,1407141,1407141,340,30784,"코리아 엔터테인먼트",씨제이엔터테인먼트,12세이상관람가,코미디,이상훈,"김수미,김영찬,이유진,여운계,이문식,김지영,이규한,권용성,김누리,김대근,김규동,김동균,민성주,최용환,양용재,이철민,길해연,주현"
308,"가문의 영광5 - 가문의 귀환",2012.12.19,8330342500,0.50%,8330342500,1160021,1160021,447,29429,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,정용기,"조성현,정준호,김민정,유동근,성동일,박근형,박상욱,윤두준,황광희,유민,손나은,이창세,한정원,박준우,박효진,이주원,유혜정,이한위,왕석현,윤문식,남태부,김태준"
309,"내 여자친구를 소개합니다",2004.6.3,8329341500,5.20%,8329341500,1298666,1298666,185,19287,(주)아이필름홀딩스,"씨제이엔터테인먼트,아이러브시네마",15세관람가,"멜로/로맨스,드라마",곽재용,"전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름"
310,회사원,2012.10.11,8321175000,0.50%,8321175000,1110523,1110523,549,41275,"영화사심미안(주),(주)쇼박스,(주)51k",(주)쇼박스,청소년관람불가,"액션,드라마",임상윤,"소지섭,이미연,곽도원,김동준,이경영,한보배,정종열,이학렬,임상윤,곽승원,김봉준,홍의정,김중돈,이재윤,나주호,박지수,서정주,신창수,이금용,이동민,이채은,박진우,전신환,황석하,황석정,전국환,유하복,정대용"
311,"간 큰 가족",2005.6.9,8212961893,0.90%,8212961893,1305518,1305518,247,31517,(주)두사부필름,(주)쇼박스,12세관람가,코미디,조명남,"감우성,김수미,김수로,김도연,조용희,김기철,김길라,정현우,유장식,최성용,김영희,김용완,성지루,전국환,신이,박충선,김태곤,이칸희"
312,"김종욱 찾기",2010.12.8,8208944000,0.60%,8208944000,1122211,1122211,427,32176,(주)수필름,씨제이엔터테인먼트,12세이상관람가,"멜로/로맨스,드라마",장유정,"임수정,공유,최지호,이청아,최혜림,조재은,박혜경,권영복,김나정,고지광,유정희,장영주,정동화,정원조,오나라,이우승,김대현,이창원,정준하,오만석,장영남,김강현,최일화,신문성,류승수"
313,"고령화 가족",2013.5.9,8169492153,0.40%,8169492153,1141222,1141222,583,37524,(주)인벤트스톤,씨제이이앤엠(주),15세이상관람가,"드라마,코미디",송해성,"우혜진,박해일,윤제문,공효진,윤여정,진지희,이학렬,임승묵,임효우,정광호,정승환,김석영,최철수,홍진성,황유진,김해곤,문선영,박용수,선현철,송진영,신창수,이강진,양희경,이종현,김영재,이영진,이영진,강석철,유승목,김근영"
314,그놈이다,2015.10.28,8098811152,0.50%,8098811152,1046313,1046313,681,38679,상상필름(주),CGV아트하우스,15세이상관람가,스릴러,윤준형,"주원,유해진,이유영,류혜영,서현우,이준혁,윤석진,김민서,김현정,박지윤,장인섭,윤다경,진용욱,오희준"
