avgP,minP,maxP,sumP,actorCD,Name
3827484000.0000,3827484000,3827484000,3827484000,20182300,모지은
50510565168.0000,50510565168,50510565168,50510565168,20305590,명인호
6386308898.0000,3020062500,9752555296,12772617796,20112995,손현우
4714345098.0000,4714345098,4714345098,4714345098,20282652,전종서
18653724041.5000,993321176,58167040145,74614896166,20186487,임병우
30353053055.0000,594260900,110933981730,394589689715,20179150,김근영
13448848500.0000,13448848500,13448848500,13448848500,10072618,최은희
3388632643.0000,2829106886,3948158400,6777265286,20231526,고민우
811692000.0000,811692000,811692000,811692000,20304871,유수아
7017894750.0000,456077000,13579712500,14035789500,20166144,이의수
14974942404.4444,505103590,58167040145,269548963280,10058320,이희준
1084557130.0000,1084557130,1084557130,1084557130,20199010,윤찬영
32144658640.9091,505103590,135753322310,353591245050,20175963,권율
12452942588.1000,783919500,32373120927,124529425881,20125825,이하늬
15858435033.3333,1699031500,44098470600,47575305100,20303250,이창민
2829106886.0000,2829106886,2829106886,2829106886,20303249,황인아
26574963290.6000,993321176,58167040145,132874816453,20280389,지웅배
486548700.0000,486548700,486548700,486548700,20302531,김수미
486548700.0000,486548700,486548700,486548700,20302530,이상철
486548700.0000,486548700,486548700,486548700,20302529,최오식
486548700.0000,486548700,486548700,486548700,20302512,유수호
486548700.0000,486548700,486548700,486548700,20302511,서홍석
32757878628.0000,3381050200,50510565168,98273635884,20302629,김규백
6190996730.0000,1728722300,10653271160,12381993460,10072103,최고
6572774337.0000,6572774337,6572774337,6572774337,20233527,지윤호
2378021700.0000,2378021700,2378021700,2378021700,20302189,박지윤
13287054000.0000,13287054000,13287054000,13287054000,20301969,이종혁
13673678058.0000,9111748087,20143992587,41021034174,20181704,이종혁
2246522500.0000,2246522500,2246522500,2246522500,20301869,강세정
40326538843.0000,993321176,95868830649,161306155372,20290434,이주영
29076804145.2903,274134500,115706188137,901380928504,10087253,하정우
881663400.0000,881663400,881663400,881663400,20301491,최용수
881663400.0000,881663400,881663400,881663400,20301389,이상운
322062200.0000,322062200,322062200,322062200,20289229,윤덕용
322062200.0000,322062200,322062200,322062200,10058908,임현식
5613806522.8000,322062200,9929947065,28069032614,10040262,신구
1797632500.0000,1797632500,1797632500,1797632500,20301189,성기윤
58167040145.0000,58167040145,58167040145,58167040145,20300992,남민우
835941500.0000,835941500,835941500,835941500,20111370,윤동환
2872135519.3333,216276800,7801007258,8616406558,20157664,박상훈
2318884500.0000,2318884500,2318884500,2318884500,20161811,이용우
53800771400.0000,53800771400,53800771400,53800771400,10006199,김한국
25692454180.9333,1652561200,115706188137,385386812714,20148715,김태준
6079359074.3333,439840592,16155829131,18238077223,20265230,공민정
8730465352.0667,237013700,58167040145,130956980281,10026716,문성근
35489666466.0000,35489666466,35489666466,35489666466,10087627,한승헌
2641412500.0000,2641412500,2641412500,2641412500,20298424,최초아
24448106930.6842,1859615500,77319445264,464514031683,10000558,강동원
7216535507.6000,2907311546,13489904632,36082677538,20166701,남연우
58167040145.0000,58167040145,58167040145,58167040145,10072112,최광일
3326439772.0000,3326439772,3326439772,3326439772,20297747,이재윤
35489666466.0000,35489666466,35489666466,35489666466,20297737,정환
22917577882.8000,3357912530,58167040145,114587889414,20179073,이태형
31313568795.0000,31313568795,31313568795,31313568795,20297676,이창호
65871955510.0000,3810103000,110933981730,197615866530,20131590,이진희
115706188137.0000,115706188137,115706188137,115706188137,20232351,이지향
8384667645.6667,255508579,20143992587,25154002937,20181927,이정훈
18884197350.3333,993321176,35489666466,113305184102,20196179,이정호
32369244377.5556,830984100,95868830649,291323199398,20189363,이정은
29081615983.2000,6276963402,77319445264,145408079916,20195903,이승훈
25154233842.2000,284073700,115706188137,251542338422,20195894,이승준
