avgP,minP,maxP,sumP,DICD,Name
746323500.0000,746323500,746323500,746323500,20142402,백미영
9072737842.0000,9072737842,9072737842,9072737842,20166880,장우진
3306109500.0000,3306109500,3306109500,3306109500,20159361,오정민
2865110500.0000,2865110500,2865110500,2865110500,10062136,정인봉
56322098349.0000,56322098349,56322098349,56322098349,20135271,강윤성
1136111200.0000,663075600,1439227500,3408333600,20111323,이경호
11304294250.0000,7233790500,15374798000,22608588500,10004184,김민석
16924786790.3333,8525038871,31959686000,50774360371,10003972,김동원
384127000.0000,384127000,384127000,384127000,10036855,손수범
641289900.0000,641289900,641289900,641289900,20234026,이동희
2069931588.0000,993321176,3146542000,4139863176,20111036,이덕희
2315777388.6667,1020724600,3474239000,6947332166,10058504,임대웅
5381420161.2000,1150732700,11706585100,26907100806,10003883,김덕수
8869915865.1250,1159253000,20483051393,70959326921,20122507,석민우
3810197147.6667,1159253000,8378297000,22861182886,10061563,정식
1519091100.0000,1519091100,1519091100,1519091100,20153728,전인환
1738293033.0000,1738293033,1738293033,1738293033,20140739,이은희
13480381509.7143,4926508500,24326346000,94362670568,20128476,김봉주
2673489440.0000,2673489440,2673489440,2673489440,10069178,주지홍
2956397623.0000,2956397623,2956397623,2956397623,10004369,김봉한
3319505433.0000,3319505433,3319505433,3319505433,20182346,양경모
