개봉일람 검색,,,,,,,,,,,,,,,,,
검색조건:[조회기간:2011년~2018년 대표국적:전체 영화구분:전체 영화유형:개봉영화],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
88 ,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,"1,056 ",34654558766,"4,313,871 ",11315080666,"1,345,720 ",액션,12세이상관람가,상업영화
89 ,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),2016-06-01,개봉영화,장편,한국,"1,171 ",35114332791,"4,277,071 ",10881501871,"1,283,972 ",스릴러,청소년관람불가,상업영화
90 ,어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,개봉영화,장편,미국,"1,312 ",34869056800,"4,168,350 ",10562832700,"1,187,974 ",액션,12세이상관람가,상업영화
91 ,용의자,원신연,"(주)그린피쉬,(주)쇼박스",,(주)쇼박스,2013-12-24,개봉영화,장편,한국,807 ,30037161000,"4,131,248 ",7563772000,"997,760 ",액션,15세이상관람가,상업영화
92 ,건축학개론,이용주,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,개봉영화,장편,한국,593 ,30219800500,"4,110,645 ",11003948000,"1,431,173 ",멜로/로맨스,12세이상관람가,상업영화
93 ,댄싱퀸,이석훈,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-01-18,개봉영화,장편,한국,534 ,30129259500,"4,057,546 ",8223006000,"1,055,086 ",코미디,12세이상관람가,상업영화
94 ,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,"1,314 ",31313568795,"4,018,341 ",7524464445,"931,901 ",범죄,15세이상관람가,상업영화
95 ,혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-07-10,개봉영화,장편,미국,922 ,31509793095,"4,002,134 ",9067860195,"1,095,630 ",액션,12세이상관람가,상업영화
96 ,타짜-신의 손,강형철,(주)싸이더스,,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,개봉영화,장편,한국,890 ,32267244827,"4,001,813 ",8495857527,"1,016,403 ",드라마,청소년관람불가,상업영화
97 ,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2016-01-28,개봉영화,장편,미국,"1,365 ",31340798156,"3,984,812 ",8695148256,"1,045,418 ",애니메이션,전체관람가,상업영화
98 ,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,개봉영화,장편,미국,"1,106 ",31710585385,"3,963,220 ",10405400885,"1,237,982 ",액션,15세이상관람가,상업영화
99 ,박수건달,조진규,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",,(주)쇼박스,2013-01-09,개봉영화,장편,한국,599 ,28343986569,"3,893,216 ",6808915069,"894,127 ",코미디,15세이상관람가,상업영화
100 ,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811 ,30456879428,"3,872,015 ",6908501928,"845,522 ",사극,12세이상관람가,상업영화
101 ,역린,이재규,"굿초이스컷픽쳐스(주),(주)파파스필름",,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,개봉영화,장편,한국,"1,054 ",29893297890,"3,849,433 ",8426821290,"1,044,988 ",사극,15세이상관람가,상업영화
102 ,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,개봉영화,장편,미국,799 ,32906364462,"3,842,441 ",11443176062,"1,271,954 ",액션,15세이상관람가,상업영화
103 ,남한산성,황동혁,(주)싸이런픽쳐스,,씨제이이앤엠(주),2017-10-03,개봉영화,장편,한국,"1,229 ",31067321992,"3,829,891 ",7375553392,"889,444 ",사극,15세이상관람가,상업영화
104 ,데드풀 2,데이빗 레이치,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-05-16,개봉영화,장편,미국,"1,576 ",34175001839,"3,783,375 ",10750123139,"1,144,473 ",액션,청소년관람불가,상업영화
105 ,미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,개봉영화,장편,미국,"1,257 ",30504689978,"3,689,325 ",7851059428,"909,202 ",액션,15세이상관람가,상업영화
106 ,분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,개봉영화,장편,미국,"1,469 ",29981156348,"3,653,238 ",7936210998,"932,027 ",액션,15세이상관람가,상업영화
