,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median,rate
16,킹스맨: 골든 서클|킹스맨 : 시크릿 에이전트|엑스맨: 데이즈 오브 퓨처 패스트|엑스맨: 퍼스트 클래스|킥 애스: 영웅의 탄생|스타더스트|레이어 케이크,10025167,매튜 본,감독,13602944,3,4534314.667,4.358129446,4.723895056,5.258129446,7.723895056,b
17,이웃 사촌|7번방의 선물|김동무는 하늘을 난다|챔프|각설탕|그놈은 멋있었다,10058252,이환경,감독,13339355,2,6669677.5,4.265700602,4.631466212,5.165700602,7.631466212,b
18,"7년의 밤|광해, 왕이 된 남자|그대를 사랑합니다|사랑을 놓치다|마파도|행복한 장의사|사월의 끝",10072983,추창민,감독,12847556,2,6423778,4.093248743,4.459014353,4.993248743,7.459014353,c
19,염력|서울역|카이: 거울 호수의 전설|부산행|졸업반|창백한 얼굴들|화산고래|사이비|돼지의 왕|집으로|창|사랑은 단백질|지옥: 두개의 삶|지옥|콕!애니 - [섹션2] VIEW : 세상보기|연상호 감독 특별전 : 지옥의 시네마|7월 수요단편극장 “연상호 감독 특별전”|제14회 미쟝센 단편 영화제 웃는 게 웃는 게 아니야  |SICAF2015 연상호 단편선|애정만세|인디포럼2015 특별2,10049814,연상호,감독,12723807,4,3180951.75,4.049855517,4.415621127,4.949855517,7.415621127,c
20,골든슬럼버|마스터|감시자들|조용한 세상|일단뛰어,10066810,조의석,감독,12647088,2,6323544,4.022953603,4.388719213,4.922953603,7.388719213,c
21,"변산|박열|대배우|동주|그날의 분위기|사도|소원|봄날의 입맞춤|평양성|구르믈 버서난 달처럼|님은 먼 곳에|궁녀|즐거운 인생|라디오 스타|도마뱀|왕의 남자|달마야, 서울 가자|황산벌|달마야 놀자|공포택시|아나키스트|키드캅",10057485,이준익,감독,12437620,4,3109405,3.949502567,4.315268177,4.849502567,7.315268177,c
22,스윙키즈|타짜-신의 손|써니 감독판|써니|과속스캔들,10000946,강형철,감독,11330633,2,5665316.5,3.561331859,3.927097469,4.461331859,6.927097469,c
23,터널|끝까지 간다|애정결핍이 두 남자에게 미치는 영향|그놈은 멋있었다|오! 해피데이,10004662,김성훈,감독,10568735,2,5284367.5,3.29416839,3.659934,4.19416839,6.659934,c
24,마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,20111283,우민호,감독,10466657,3,3488885.667,3.258374212,3.624139822,4.158374212,6.624139822,c
25,겨울왕국|겨울왕국 열기,10062633,제니퍼 리,감독,10296101,1,10296101,3.19856787,3.56433348,4.09856787,6.56433348,c
26,겨울왕국 이야기: 디즈니 애니메이션 제작 스토리|겨울왕국|서핑 업|타잔|겨울왕국 열기,10077092,크리스 벅,감독,10296101,1,10296101,3.19856787,3.56433348,4.09856787,6.56433348,c
27,신비한 동물들과 그린델왈드의 범죄|신비한 동물사전|레전드 오브 타잔|해리포터와 죽음의 성물2|해리 포터와 죽음의 성물1|해리 포터와 혼혈 왕자|해리 포터와 불사조 기사단|카페의 소녀,20100014,데이빗 예이츠,감독,9925693,3,3308564.333,3.068682392,3.434448002,3.968682392,6.434448002,d
28,검사외전|군도: 민란의 시대|마이 웨이|비스티 보이즈,10057103,이일형,감독,9699092,1,9699092,2.989223581,3.354989191,3.889223581,6.354989191,d
29,"1987|화이: 괴물을 삼킨 아이|잉투기|감독들, 김기영을 말하다|지구를 지켜라|유령|나와 통하는 다음검색 : 털|2001 이매진|카멜리아",10060507,장준환,감독,9623733,2,4811866.5,2.962798558,3.328564168,3.862798558,6.328564168,d
30,공작|춘몽|검사외전|허삼관|군도: 민란의 시대|범죄와의 전쟁: 나쁜놈들 전성시대|비스티 보이즈|용서받지 못한 자,10054495,윤종빈,감독,9485349,2,4742674.5,2.914273494,3.280039104,3.814273494,6.280039104,d
31,프랑켄슈타인의 신부(가제)|미녀와 야수|미스터 홈즈|제5계급|브레이킹 던 part2|브레이킹 던 part1|드림걸즈|킨제이 보고서|갓 앤 몬스터|캔디 맨 2 ,10033573,빌 콘돈,감독,9255090,3,3085030,2.833531986,3.199297597,3.733531986,6.199297597,d
32,"패러사이트|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!",10031641,봉준호,감독,9236395,2,4618197.5,2.826976488,3.192742098,3.726976488,6.192742098,d
33,리빙보이 인 뉴욕|어메이징 메리|어메이징 스파이더맨 2|어메이징 스파이더맨|500일의 썸머,10024339,마크 웹,감독,9084591,4,2271147.75,2.773745631,3.139511242,3.673745631,6.139511242,d
34,판도라|연가시|쏜다|강력 3반|바람의 전설|광복절 특사|라이터를 켜라|신라의 달밤|선물|주유소 습격사건,10029181,박정우,감독,9084168,2,4542084,2.773597304,3.139362915,3.673597304,6.139362915,d
35,더 프레데터|나이스 가이즈|언럭키맨|아이언맨 3|키스 키스 뱅뱅|롱 키스 굿나잇 ,10037886,쉐인 블랙,감독,9025577,2,4512788.5,2.753052068,3.118817678,3.653052068,6.118817678,d
36,올 더 머니|에이리언: 커버넌트|마션|차일드 44|엑소더스: 신들과 왕들|카운슬러|스토커|프로메테우스|로빈 후드|바디 오브 라이즈|아메리칸 갱스터|어느 멋진 순간|킹덤 오브 헤븐|보이지 않는 아이들|매치스틱 맨|블랙 호크 다운|한니발|글래디에이터|지아이제인|화이트 스콜 |1492 콜럼버스|델마와 루이스 |블레이드 러너: 파이널 컷|에이리언즈 원 |에일리언: 감독판|결투자들,10019469,리들리 스콧,감독,8865014,6,1477502.333,2.696749822,3.062515433,3.596749822,6.062515433,d
37,탐정 홍길동: 사라진 마을|늑대소년-확장판|늑대소년|짐승의 끝|남매의 집|장례식의 멤버|KAFA 단편 2|사사건건|Dir/Actors 5. 구교환&조현철,10065952,조성희,감독,8495793,3,2831931,2.567280572,2.933046182,3.467280572,5.933046182,d
38,마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다,10029578,박훈정,감독,8480520,4,2120130,2.561925016,2.927690626,3.461925016,5.927690626,d
39,보헤미안 랩소디|엑스맨: 아포칼립스|엑스맨: 데이즈 오브 퓨처 패스트|잭 더 자이언트 킬러|작전명 발키리|수퍼맨 리턴즈|엑스맨 2|엑스맨|죽음보다 무서운 비밀|유주얼 서스펙트,10031865,브라이언 싱어,감독,8208843,3,2736281,2.466660072,2.832425683,3.366660072,5.832425683,d
40,애나벨 : 인형의 주인|컨저링 2|분노의 질주: 더 세븐|인시디어스: 두번째 집|컨저링|인시디어스|데드 사일런스|쏘우,10064265,제임스 완,감독,8064438,5,1612887.6,2.416023713,2.781789324,3.316023713,5.781789324,d
41,창궐|공조|마이 리틀 히어로,20128773,김성훈,감독,8001096,2,4000548,2.393812514,2.759578124,3.293812514,5.759578124,d
42,증인|오빠생각|손님|연애의 맛|오늘의 연애|우아한 거짓말|완득이|내 사랑|청춘만화|하늘정원|연애소설,10058005,이한,감독,7993338,3,2664446,2.391092131,2.756857741,3.291092131,5.756857741,d
43,호빗: 다섯 군대 전투|호빗: 스마우그의 폐허|호빗: 뜻밖의 여정|러블리 본즈|킹콩|반지의 제왕 : 왕의 귀환 (확장판)|반지의 제왕 : 왕의 귀환|반지의 제왕 : 두개의 탑 (확장판)|반지의 제왕 : 두개의 탑|반지의 제왕 : 반지원정대 (확장판)|반지의 제왕 : 반지원정대|프라이트너 |고무인간의 최후,10085973,피터 잭슨,감독,7938511,3,2646170.333,2.37186676,2.737632371,3.27186676,5.737632371,d
44,메이즈 러너: 데스 큐어|메이즈 러너: 스코치 트라이얼|메이즈 러너,10044699,웨스 볼,감독,7856591,3,2618863.667,2.343141089,2.7089067,3.243141089,5.7089067,d
45,인크레더블 2|투모로우랜드|미션임파서블:고스트프로토콜|라따뚜이|인크레더블|심슨 가족|아이언 자이언트,10032042,브래드 버드,감독,7841643,2,3920821.5,2.337899496,2.703665106,3.237899496,5.703665106,d
46,"인랑|밀정|라스트 스탠드|악마를 보았다|악마를 보았다 감독판|좋은 놈, 나쁜 놈, 이상한 놈 |좋은 놈, 나쁜 놈, 이상한 놈(칸버전)|감독들, 김기영을 말하다|달콤한 인생|장화, 홍련|쓰리|쓰리 메모리즈|반칙왕|커밍 아웃|조용한 가족|더 엑스|사랑의 가위바위보|선물|사랑의 힘|제13회 미쟝센 단편영화제 김지운 단편 특별전1|제13회 미쟝센 단편영화제 김지운 단편 특별전2|제13회 미쟝센 단편영화제 김지운 감독 마스터클래스|인류멸망 보고서|인류 멸망 보고서 '천상의 피조물' ",10005852,김지운,감독,7651798,3,2550599.333,2.271329366,2.637094977,3.171329366,5.637094977,d
47,니 부모 얼굴이 보고 싶다|타워|7광구|화려한 휴가|목포는 항구다|질주|여고괴담|뱅!뱅!|온실,10005886,김지훈,감독,7413193,2,3706596.5,2.187661291,2.553426901,3.087661291,5.553426901,d
