,Unnamed: 0,rank,mname,director,provider,date,country,n_scrn,money,guest,genre,rating,grade,actor
1893,1893,"1,894",아노말리사,"찰리 카우프만,듀크 존슨",롯데쇼핑㈜롯데엔터테인먼트,2016-03-30,미국,93,115387000,14153,애니메이션,청소년관람불가,7.46,제니퍼 제이슨 리|데이빗 듈리스|톰 누난|
1894,1894,"1,895",해피 어게인,커트 보엘커,(주)엣나인필름,2018-03-28,미국,98,104133900,14134,드라마,15세이상관람가,8.98,J.K. 시몬스|오데야 러쉬|줄리 델피|조쉬 위긴스|
1895,1895,"1,896",중2병이라도 사랑이 하고 싶어! 극장판,이시하라 타츠야,(주)머스트씨무비,2014-02-06,일본,32,90261500,14064,애니메이션,전체관람가,7.96,우치다 마아야|
1896,1896,"1,897",테레즈 라캥,찰리 스트레이턴,판씨네마(주),2014-07-10,미국,48,106422700,14063,범죄,청소년관람불가,7.39,엘리자베스 올슨|톰 펠튼|제시카 랭|오스카 아이삭|
1897,1897,"1,898",자객 섭은낭,허우 샤오시엔,(주)영화사 진진,2016-02-04,대만,52,108695700,13938,사극,12세이상관람가,6.9,서기|장첸|사흔영|츠마부키 사토시|
1898,1898,"1,899",네이든,모건 매튜스,(주)블룸즈베리리소시스리미티드,2015-06-25,영국,49,105900400,13912,드라마,12세이상관람가,8.2,에이사 버터필드|라프 스팰|샐리 호킨스|
1899,1899,"1,900",프로즌 그라운드,스콧 워커,(주)박수엔터테인먼트,2014-02-06,미국,88,103660500,13853,스릴러,청소년관람불가,7.45,니콜라스 케이지|존 쿠삭|바네사 허진스|라다 미첼|
1902,1902,"1,903",미스터 터너,마이크 리,(주)영화사 진진,2015-01-22,영국,29,105909883,13792,드라마,청소년관람불가,7.47,티모시 스폴|폴 제슨|도로시 앳킨슨|
1903,1903,"1,904",산이 울다,래리 양,(주)팝엔터테인먼트,2016-05-25,중국,107,104827700,13791,드라마,15세이상관람가,9.01,량예팅|왕쯔이|
1904,1904,"1,905",헤이츠,마크 톤데라이,(주)나이너스엔터테인먼트,2012-12-06,미국,75,94348000,13747,스릴러,15세이상관람가,6.57,엘리자베스 슈|맥스 티에리옷|제니퍼 로렌스|
1905,1905,"1,906",토니 에드만,마렌 아데,그린나래미디어(주),2017-03-16,독일,64,109972800,13677,드라마,청소년관람불가,8.2,페테르 시모니슈에크|산드라 휠러|
1906,1906,"1,907",오직 사랑뿐,엠마 아산테,(주)팝엔터테인먼트,2018-02-08,영국,105,106539718,13580,드라마,12세이상관람가,8.5,데이빗 오예로워|로자먼드 파이크|
1908,1908,"1,909",해피 홀리데이,"앤디 해밀턴,가이 젠킨",(주)스톰픽쳐스코리아,2015-05-14,영국,102,102633800,13529,코미디,12세이상관람가,7.91,로자먼드 파이크|데이비드 테넌트|빌리 코놀리|
