,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median
728,라스트 파이브 이어즈|뷰티풀 크리처스|P.S. 아이 러브 유|프리 라이터스 다이어리|키스,10019966,리차드 라그라브네스,감독,82995,1,82995,-0.382710495,-0.016944885,0.517289505,2.983055115
729,아뉴스 데이|마담 보바리|투 마더스|코코 샤넬|나탈리|오거스틴 2: 쿵후대왕,10045760,앤 폰테인,감독,82578,2,41289,-0.382856718,-0.017091108,0.517143282,2.982908892
730,알리타: 배틀 엔젤|씬 시티: 다크히어로의 부활|마세티 킬즈|스파이키드4 : 올더타임인더월드|마셰티|쇼츠|플래닛 테러|그라인드 하우스|샤크보이와 라바걸의 모험 : 3-D|스파이 키드 3D|원스 어폰 어 타임 인 멕시코 |스파이 키드 2|스파이 키드|패컬티|황혼에서 새벽까지|포 룸 |엘 마리아치,10016605,로버트 로드리게즈,감독,82571,1,82571,-0.382859173,-0.017093563,0.517140827,2.982906437
731,씬 시티: 다크히어로의 부활|스피릿|씬 시티,10084669,프랭크 밀러,감독,82571,1,82571,-0.382859173,-0.017093563,0.517140827,2.982906437
732,다이노X 탐험대,20234026,이동희,감독,82148,1,82148,-0.3830075,-0.01724189,0.5169925,2.98275811
733,꼬마참새 리차드: 아프리카 원정대,10007095,레자 메마리,감독,81136,1,81136,-0.383362363,-0.017596753,0.516637637,2.982403247
734,폐쇄병동|터널 3D|귀향|기억부검|제6회 서울 프라이드 영화제 국내단편3,20150634,박규택,감독,80989,1,80989,-0.383413909,-0.017648299,0.516586091,2.982351701
735,해피엔드|감독 미카엘 하네케|베리만 통과하기|아무르|하얀리본|퍼니 게임|히든|늑대의 시간|피아니스트|미지의 코드|퍼니게임 |성,10027610,미카엘 하네케,감독,80345,1,80345,-0.383639731,-0.017874121,0.516360269,2.982125879
736,로스트 인 더스트|스타드 업|락 앤 러브|퍼펙트 센스|S러버|할람 포|어사일럼|영 아담|최후의 황무지,10011784,데이빗 맥킨지,감독,79812,1,79812,-0.383826631,-0.01806102,0.516173369,2.98193898
737,오 마이 그랜파|저스트 어 이어 ,20171560,댄 마저,감독,79701,1,79701,-0.383865553,-0.018099943,0.516134447,2.981900057
738,드래곤 스펠: 마법 꽃의 비밀,10032735,마누크 데포얀,감독,79446,1,79446,-0.38395497,-0.01818936,0.51604503,2.98181064
739,페이스 오브 러브|춤스크러버,10041758,아리 포신,감독,79179,1,79179,-0.384048595,-0.018282985,0.515951405,2.981717015
740,분신사바 3|분신사바 2|분신사바-저주의 시작|써니|과속스캔들|죽음의 숲-어느날 갑자기 네번째 이야기|D-day-어느날 갑자기 세번째 이야기|네번째 층 - 어느날 갑자기 두번째 이야기|2월 29일 - 어느날 갑자기 첫번째 이야기|아파트|분신사바|폰|가위,10043339,안병기,감독,79017,1,79017,-0.384105401,-0.018339791,0.515894599,2.981660209
