rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
"1,037",바스티유 데이,제임스 왓킨스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,미국,422,96305,액션,15세이상관람가,7.97,리차드 매든|이드리스 엘바|샬롯 르 본|,16.50288644, ,5.550457558,,2.739466056,f,11.42832,a,11.42832,a
"1,038",577 프로젝트,이근우,필라멘트픽쳐스,2012-08-30,한국,191,96079,코미디,15세이상관람가,8.2,공효진|하정우|,0, ,10.93417618,b,2.119659045,,Na,Na,Na,Na
"1,039",기생령,고석진,롯데쇼핑㈜롯데엔터테인먼트,2011-08-05,한국,207,96077,공포(호러),청소년관람불가,4.33,한은정|이형석|효민|박성민|,16.50288644, ,4.84462215,,0,,11.42832,a,11.42832,a
"1,040",걷기왕,백승화,CGV아트하우스,2016-10-20,한국,462,95542,드라마,12세이상관람가,7.74,심은경|박주희|,4.951322077, ,6.645128685,,3.619562379,c,2.77701,c,2.77701,d
"1,041",무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,한국,317,95415,공포(호러),15세이상관람가,5.81,임슬옹|경수진|박정민|홍은희|차지연|,16.50288644, ,5.017394822,,-0.176144965,,11.42832,a,11.42832,a
"1,042",일사각오,"권혁만,고문안",파이오니아21,2016-03-17,한국,51,94767,드라마,12세이상관람가,9.16,이지형|설지윤|최원|,0, ,4.777548351,,3.619562379,c,Na,Na,Na,Na
"1,043",사일런스,마틴 스콜세지,씨네그루(주)키다리이엔티,2017-02-28,미국,342,94750,드라마,15세이상관람가,8.25,앤드류 가필드|리암 니슨|아담 드라이버|,2.33289481, ,6.315532982,,3.619562379,c,1.16419,d,Na,Na
"1,044",초한지 - 천하대전,이인항,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2012-01-11,중국,167,94652,액션,12세이상관람가,7.78,여명|유역비|풍소봉|장한위|황추생|진소춘|안지걸|,0, ,4.782357888,,0,,Na,Na,Na,Na
"1,045",인비저블 게스트,오리올 파울로,(주)더블앤조이픽쳐스,2017-09-21,스페인,232,94281,범죄,15세이상관람가,8.95,마리오 카사스|안나 와게너|바바라 레니|호세 코로나도|,0, ,4.78012015,,0.655022605,,Na,Na,Na,Na
"1,046","나, 다니엘 블레이크",켄 로치,(주)영화사 진진,2016-12-08,영국,63,94266,드라마,12세이상관람가,9.24,헤일리 스콰이어|데이브 존스|,3.078397672, ,0,,3.619562379,c,Na,Na,1.29422,e
"1,047",나의 산티아고,줄리아 폰 하인츠,(주)영화사 진진,2016-07-14,독일,88,94243,코미디,12세이상관람가,8.13,데비드 스트리에소브|마르티나 게덱|카롤리네 슈허|,3.078397672, ,4.777465151,,1.119723488,,Na,Na,1.29422,e
"1,048",마야2,"노엘 클리어리,세르지오 델피노",(주)영화사 빅,2018-02-01,독일,429,94182,애니메이션,전체관람가,9.36,김서영|김명준|김소희|임채헌|윤세웅|,4.699094781, ,4.879673351,,1.468025358,,Na,Na,2.04346,d
"1,049",커다랗고 커다랗고 커다란 배,"필립 립스키,요르겐 레르담",예지림엔터테인먼트,2018-05-03,덴마크,350,93592,애니메이션,전체관람가,9,이소은|이제인|윤세웅|이규창|,1.767523901, ,4.80102556,,1.468025358,,Na,Na,Na,Na
"1,050",프리스트,스콧 찰스 스튜어트,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,미국,228,93336,액션,15세이상관람가,6.08,폴 베타니|매기 큐|,1.064678122, ,5.71435637,,0,,2.36147,e,2.36147,d
"1,051",원피스 극장판 Z,나가미네 타츠야,씨제이이앤엠(주),2013-03-21,일본,267,93239,애니메이션,전체관람가,9.02,타나카 마유미|나카이 카즈야|오카무라 아케미|시노하라 료코|카가와 테루유키|,19.94668544, ,4.806804093,,1.468025358,,16.58469,a,16.58469,a
"1,052",태풍이 지나가고,고레에다 히로카즈,(주)티캐스트,2016-07-27,일본,72,93005,드라마,12세이상관람가,8.61,아베 히로시|키키 키린|마키 요코|요시자와 타이요|,0, ,4.785806551,,3.619562379,c,Na,Na,Na,Na
